DOI: (10.1257/app.2.)
Timespan=2009-2015. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2009","2010","2011","2012","2013","2014","2015"
"The Effect of Bans and Taxes on Passive Smoking","Adda, Jerome; Cornaglia, Francesca","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","1","32","","10.1257/app.2.1.1","","","43","7.17","0","1","7","10","9","10","6"
"Parental Education and Child Health: Evidence from a Natural Experiment in Taiwan","Chou, Shin-Yi; Liu, Jin-Tan; Grossman, Michael; Joyce, Ted","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","33","61","","10.1257/app.2.1.33","","","21","3.50","0","2","7","3","4","4","1"
"Intergenerational Networks, Unemployment, and Persistent Inequality in South Africa","Magruder, Jeremy R.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","62","85","","10.1257/app.2.1.62","","","11","1.83","0","0","1","2","3","4","1"
"Parents' Incomes and Children's Outcomes: A Quasi-Experiment Using Transfer Payments from Casino Profits","Akee, Randall K. Q.; Copeland, William E.; Keeler, Gordon; Angold, Adrian; Costello, E. Jane","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","86","115","","10.1057/app.2.1.86","","","28","4.67","0","4","3","6","6","5","4"
"The Changing Consequences of Attending Historically Black Colleges and Universities","Fryer, Roland G., Jr.; Greenstone, Michael","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","116","148","","10.1257/app.2.1.116","","","8","1.33","0","0","1","2","0","4","1"
"Prize Structure and Information in Tournaments: Experimental Evidence","Freeman, Richard B.; Gelber, Alexander M.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","149","164","","10.1257/app.2.1.149","","","13","2.17","0","3","2","2","3","2","1"
"Age at Arrival, English Proficiency, and Social Assimilation Among US Immigrants","Bleakley, Hoyt; Chin, Aimee","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","165","192","","10.1257/app.2.1.165","","","26","4.33","0","2","3","5","4","5","7"
"Present-Biased Preferences and Credit Card Borrowing","Meier, Stephan; Sprenger, Charles","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","193","210","","10.1257/app.2.1.193","","","62","10.33","0","3","3","12","22","17","5"
"Externalities in the Classroom: How Children Exposed to Domestic Violence Affect Everyone's Kids","Carrell, Scott E.; Hoekstra, Mark L.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","211","228","","10.1257/app.2.1.211","","","40","6.67","0","1","4","7","8","15","5"
"Malaria Eradication in the Americas: A Retrospective Analysis of Childhood Exposure","Bleakley, Hoyt","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2010","2010","2","2","","","","1","45","","10.1257/app.2.2.1","","","45","7.50","0","3","6","5","15","12","4"
