DO=10.1257/app.*
Timespan=All years. Indexes=SCI-EXPANDED, SSCI, A

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Task Specialization, Immigration, and Wages","Peri, Giovanni; Sparber, Chad","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JUL 2009","2009","1","3","","","","135","169","","10.1257/app.1.3.135","","","52","8.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","9","18","14","6"
"Does the Media Matter? A Field Experiment Measuring the Effect of Newspapers on Voting Behavior and Political Opinions","Gerber, Alan S.; Karlan, Dean; Bergan, Daniel","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2009","2009","1","2","","","","35","52","","10.1257/app.1.2.35","","","51","8.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","14","14","11","7"
"Present-Biased Preferences and Credit Card Borrowing","Meier, Stephan; Sprenger, Charles","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","193","210","","10.1257/app.2.1.193","","","45","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","12","22","5"
"Incentives and Services for College Achievement: Evidence from a Randomized Trial","Angrist, Joshua; Lang, Daniel; Oreopoulos, Philip","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2009","2009","1","1","","","","136","163","","10.1257/app.1.1.136","","","45","7.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","8","6","7","11"
"Separated at Girth: US Twin Estimates of the Effects of Birth Weight","Royer, Heather","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2009","2009","1","1","","","","49","85","","10.1257/app.1.1.49","","","44","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","15","2","16","6"
"Early Childhood Intervention and Life-Cycle Skill Development: Evidence from Head Start","Deming, David","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JUL 2009","2009","1","3","","","","111","134","","10.1257/app.1.3.111","","","42","7.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","9","5","13","11"
"Dynamics of the Gender Gap for Young Professionals in the Financial and Corporate Sectors","Bertrand, Marianne; Goldin, Claudia; Katz, Lawrence E.","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JUL 2010","2010","2","3","","","","228","255","","10.1257/app.2.3.228","","","41","8.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","16","13","6"
"In Pursuit of Balance: Randomization in Practice in Development Field Experiments","Bruhn, Miriam; McKenzie, David","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","OCT 2009","2009","1","4","","","","200","232","","10.1257/app.1.4.200","","","40","6.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","9","11","11"
"Malaria Eradication in the Americas: A Retrospective Analysis of Childhood Exposure","Bleakley, Hoyt","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","APR 2010","2010","2","2","","","","1","45","","10.1257/app.2.2.1","","","37","7.40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","5","15","8"
"The Effect of Bans and Taxes on Passive Smoking","Adda, Jerome; Cornaglia, Francesca","","","","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","JAN 2010","2010","2","1","","","","1","32","","10.1257/app.2.1.1","","","36","7.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","10","9","9"
