"","DOI","url","year","month","publisher","volume","number","pages","author","title","journal","key","entry"
"1","10.1257/app.20130369","https://doi.org/10.1257/app.20130369","2016","jan","American Economic Association","8","1","129--149","Jessica Goldberg","Kwacha Gonna Do? Experimental Evidence about Labor Supply in Rural Malawi","American Economic Journal: Applied Economics","Goldberg_2016","article"
"2","10.1257/app.20140073","https://doi.org/10.1257/app.20140073","2016","jan","American Economic Association","8","1","58--99","David H. Autor and Alan Manning and Christopher L. Smith","The Contribution of the Minimum Wage to {US} Wage Inequality over Three Decades: A Reassessment","American Economic Journal: Applied Economics","Autor_2016","article"
"3","10.1257/app.20140323","https://doi.org/10.1257/app.20140323","2016","jan","American Economic Association","8","1","33--57","Philip J. Cook and Songman Kang","Birthdays, Schooling, and Crime: Regression-Discontinuity Analysis of School Performance, Delinquency, Dropout, and Crime Initiation","American Economic Journal: Applied Economics","Cook_2016","article"
"4","10.1257/app.20140362","https://doi.org/10.1257/app.20140362","2016","apr","American Economic Association","8","2","123--153","Andr{\'{e}} Gröger and Yanos Zylberberg","Internal Labor Migration as a Shock Coping Strategy: Evidence from a Typhoon","American Economic Journal: Applied Economics","Gr_ger_2016","article"
"5","10.1257/app.20140468","https://doi.org/10.1257/app.20140468","2017","jan","American Economic Association","9","1","96--117","Lucas C. Coffman and Clayton R. Featherstone and Judd B. Kessler","Can Social Information Affect What Job You Choose and Keep?","American Economic Journal: Applied Economics","Coffman_2017","article"
"6","10.1257/app.20150004","https://doi.org/10.1257/app.20150004","2016","jul","American Economic Association","8","3","165--195","Maria Polyakova","Regulation of Insurance with Adverse Selection and Switching Costs: Evidence from Medicare Part D","American Economic Journal: Applied Economics","Polyakova_2016","article"
"7","10.1257/app.20150059","https://doi.org/10.1257/app.20150059","2017","jan","American Economic Association","9","1","70--95","Kareem Haggag and Brian McManus and Giovanni Paci","Learning by Driving: Productivity Improvements by New York City Taxi Drivers","American Economic Journal: Applied Economics","Haggag_2017","article"
"8","10.1257/app.20150342","https://doi.org/10.1257/app.20150342","2017","oct","American Economic Association","9","4","166--185","Eliana La Ferrara and Annamaria Milazzo","Customary Norms, Inheritance, and Human Capital: Evidence from a Reform of the Matrilineal System in Ghana","American Economic Journal: Applied Economics","La_Ferrara_2017","article"
"9","10.1257/app.20150365","https://doi.org/10.1257/app.20150365","2018","apr","American Economic Association","10","2","234--256","Costas Meghir and M{\aa}rten Palme and Emilia Simeonova","Education and Mortality: Evidence from a Social Experiment","American Economic Journal: Applied Economics","Meghir_2018","article"
"10","10.1257/app.20150512","https://doi.org/10.1257/app.20150512","2017","jan","American Economic Association","9","1","229--273","Sam Asher and Paul Novosad","Politics and Local Economic Growth: Evidence from India","American Economic Journal: Applied Economics","Asher_2017","article"
"11","10.1257/app.20160597","https://doi.org/10.1257/app.20160597","2018","apr","American Economic Association","10","2","257--297","Pascaline Dupas and Dean Karlan and Jonathan Robinson and Diego Ubfal","Banking the Unbanked? Evidence from Three Countries","American Economic Journal: Applied Economics","Dupas_2018","article"
"12","10.1257/mac.20120197","https://doi.org/10.1257/mac.20120197","2015","oct","American Economic Association","7","4","188--221","Michelle Connolly and Kei-Mu Yi","How Much of South Korea's Growth Miracle Can Be Explained by Trade Policy?","American Economic Journal: Macroeconomics","Connolly_2015","article"
"13","10.1257/mac.20130237","https://doi.org/10.1257/mac.20130237","2015","oct","American Economic Association","7","4","33--66","Michael W. Klein and Jay C. Shambaugh","Rounding the Corners of the Policy Trilemma: Sources of Monetary Policy Autonomy","American Economic Journal: Macroeconomics","Klein_2015","article"
"14","10.1257/mac.20110110","https://doi.org/10.1257/mac.20110110","2015","apr","American Economic Association","7","2","219--248","Marek Kapi{\v{c}}ka","Optimal Mirrleesean Taxation in a Ben-Porath Economy","American Economic Journal: Macroeconomics","Kapi_ka_2015","article"
"15","10.1257/mac.20120155","https://doi.org/10.1257/mac.20120155","2015","apr","American Economic Association","7","2","157--180","Beatriz de Blas and Katheryn N. Russ","Understanding Markups in the Open Economy","American Economic Journal: Macroeconomics","de_Blas_2015","article"
"16","10.1257/mac.20130011","https://doi.org/10.1257/mac.20130011","2016","jan","American Economic Association","8","1","148--198","Ryan A. Decker and Pablo N. D{\textquotesingle}Erasmo and Hernan Moscoso Boedo","Market Exposure and Endogenous Firm Volatility over the Business Cycle","American Economic Journal: Macroeconomics","Decker_2016","article"
"17","10.1257/mac.20130014","https://doi.org/10.1257/mac.20130014","2016","oct","American Economic Association","8","4","142--176","Michael U. Krause and St{\'{e}}phane Moyen","Public Debt and Changing Inflation Targets","American Economic Journal: Macroeconomics","Krause_2016","article"
"18","10.1257/app.20130170","https://doi.org/10.1257/app.20130170","2018","jan","American Economic Association","10","1","106--149","Evgeny Yakovlev","Demand for Alcohol Consumption in Russia and Its Implication for Mortality","American Economic Journal: Applied Economics","Yakovlev_2018","article"
"19","10.1257/app.20150149","https://doi.org/10.1257/app.20150149","2016","oct","American Economic Association","8","4","256--295","Miriam Bruhn and Luciana de Souza Le{\~{a}}o and Arianna Legovini and Rogelio Marchetti and Bilal Zia","The Impact of High School Financial Education: Evidence from a Large-Scale Evaluation in Brazil","American Economic Journal: Applied Economics","Bruhn_2016","article"
