"","DOI","url","year","month","publisher","volume","number","pages","author","title","journal","key","entry"
"1","10.1257/app.20130369","https://doi.org/10.1257%2Fapp.20130369","2016","jan","American Economic Association","8","1","129--149","Jessica Goldberg","Kwacha Gonna Do? Experimental Evidence about Labor Supply in Rural Malawi","American Economic Journal: Applied Economics","Goldberg_2016","article"
"2","10.1257/app.20140073","https://doi.org/10.1257%2Fapp.20140073","2016","jan","American Economic Association","8","1","58--99","David H. Autor and Alan Manning and Christopher L. Smith","The Contribution of the Minimum Wage to {US} Wage Inequality over Three Decades: A Reassessment","American Economic Journal: Applied Economics","Autor_2016","article"
"3","10.1257/app.20140323","https://doi.org/10.1257%2Fapp.20140323","2016","jan","American Economic Association","8","1","33--57","Philip J. Cook and Songman Kang","Birthdays, Schooling, and Crime: Regression-Discontinuity Analysis of School Performance, Delinquency, Dropout, and Crime Initiation","American Economic Journal: Applied Economics","Cook_2016","article"
"4","10.1257/app.20140362","https://doi.org/10.1257%2Fapp.20140362","2016","apr","American Economic Association","8","2","123--153","Andr{\'{e}} Gröger and Yanos Zylberberg","Internal Labor Migration as a Shock Coping Strategy: Evidence from a Typhoon","American Economic Journal: Applied Economics","Gr_ger_2016","article"
"5","10.1257/app.20140468","https://doi.org/10.1257%2Fapp.20140468","2017","jan","American Economic Association","9","1","96--117","Lucas C. Coffman and Clayton R. Featherstone and Judd B. Kessler","Can Social Information Affect What Job You Choose and Keep?","American Economic Journal: Applied Economics","Coffman_2017","article"
"6","10.1257/app.20150004","https://doi.org/10.1257%2Fapp.20150004","2016","jul","American Economic Association","8","3","165--195","Maria Polyakova","Regulation of Insurance with Adverse Selection and Switching Costs: Evidence from Medicare Part D","American Economic Journal: Applied Economics","Polyakova_2016","article"
"7","10.1257/app.20150059","https://doi.org/10.1257%2Fapp.20150059","2017","jan","American Economic Association","9","1","70--95","Kareem Haggag and Brian McManus and Giovanni Paci","Learning by Driving: Productivity Improvements by New York City Taxi Drivers","American Economic Journal: Applied Economics","Haggag_2017","article"
"8","10.1257/app.20150342","https://doi.org/10.1257%2Fapp.20150342","2017","oct","American Economic Association","9","4","166--185","Eliana La Ferrara and Annamaria Milazzo","Customary Norms, Inheritance, and Human Capital: Evidence from a Reform of the Matrilineal System in Ghana","American Economic Journal: Applied Economics","La_Ferrara_2017","article"
"9","10.1257/app.20150365","https://doi.org/10.1257%2Fapp.20150365","2018","apr","American Economic Association","10","2","234--256","Costas Meghir and M{\aa}rten Palme and Emilia Simeonova","Education and Mortality: Evidence from a Social Experiment","American Economic Journal: Applied Economics","Meghir_2018","article"
"10","10.1257/app.20150512","https://doi.org/10.1257%2Fapp.20150512","2017","jan","American Economic Association","9","1","229--273","Sam Asher and Paul Novosad","Politics and Local Economic Growth: Evidence from India","American Economic Journal: Applied Economics","Asher_2017","article"
"11","10.1257/app.20160597","https://doi.org/10.1257%2Fapp.20160597","2018","apr","American Economic Association","10","2","257--297","Pascaline Dupas and Dean Karlan and Jonathan Robinson and Diego Ubfal","Banking the Unbanked? Evidence from Three Countries","American Economic Journal: Applied Economics","Dupas_2018","article"
"12","10.1257/mac.20120197","https://doi.org/10.1257%2Fmac.20120197","2015","oct","American Economic Association","7","4","188--221","Michelle Connolly and Kei-Mu Yi","How Much of South Korea's Growth Miracle Can Be Explained by Trade Policy?","American Economic Journal: Macroeconomics","Connolly_2015","article"
"13","10.1257/mac.20130237","https://doi.org/10.1257%2Fmac.20130237","2015","oct","American Economic Association","7","4","33--66","Michael W. Klein and Jay C. Shambaugh","Rounding the Corners of the Policy Trilemma: Sources of Monetary Policy Autonomy","American Economic Journal: Macroeconomics","Klein_2015","article"
"14","10.1257/mac.20110110","https://doi.org/10.1257%2Fmac.20110110","2015","apr","American Economic Association","7","2","219--248","Marek Kapi{\v{c}}ka","Optimal Mirrleesean Taxation in a Ben-Porath Economy","American Economic Journal: Macroeconomics","Kapi_ka_2015","article"
"15","10.1257/mac.20120155","https://doi.org/10.1257%2Fmac.20120155","2015","apr","American Economic Association","7","2","157--180","Beatriz de Blas and Katheryn N. Russ","Understanding Markups in the Open Economy","American Economic Journal: Macroeconomics","de_Blas_2015","article"
"16","10.1257/mac.20130011","https://doi.org/10.1257%2Fmac.20130011","2016","jan","American Economic Association","8","1","148--198","Ryan A. Decker and Pablo N. D{\textquotesingle}Erasmo and Hernan Moscoso Boedo","Market Exposure and Endogenous Firm Volatility over the Business Cycle","American Economic Journal: Macroeconomics","Decker_2016","article"
"17","10.1257/mac.20130014","https://doi.org/10.1257%2Fmac.20130014","2016","oct","American Economic Association","8","4","142--176","Michael U. Krause and St{\'{e}}phane Moyen","Public Debt and Changing Inflation Targets","American Economic Journal: Macroeconomics","Krause_2016","article"
"18","10.1257/app.20130170","https://doi.org/10.1257%2Fapp.20130170","2018","jan","American Economic Association","10","1","106--149","Evgeny Yakovlev","Demand for Alcohol Consumption in Russia and Its Implication for Mortality","American Economic Journal: Applied Economics","Yakovlev_2018","article"
"19","10.1257/app.20150149","https://doi.org/10.1257%2Fapp.20150149","2016","oct","American Economic Association","8","4","256--295","Miriam Bruhn and Luciana de Souza Le{\~{a}}o and Arianna Legovini and Rogelio Marchetti and Bilal Zia","The Impact of High School Financial Education: Evidence from a Large-Scale Evaluation in Brazil","American Economic Journal: Applied Economics","Bruhn_2016","article"
"20","10.1257/app.20150245","https://doi.org/10.1257%2Fapp.20150245","2018","apr","American Economic Association","10","2","101--124","Claudia Mart{\'{\i}}nez A. and Esteban Puentes and Jaime Ruiz-Tagle","The Effects of Micro-entrepreneurship Programs on Labor Market Performance: Experimental Evidence from Chile","American Economic Journal: Applied Economics","A__2018","article"
"21","10.1257/app.20150447","https://doi.org/10.1257%2Fapp.20150447","2017","apr","American Economic Association","9","2","256--289","Monica Martinez-Bravo","The Local Political Economy Effects of School Construction in Indonesia","American Economic Journal: Applied Economics","Martinez_Bravo_2017","article"
"22","10.1257/app.20150548","https://doi.org/10.1257%2Fapp.20150548","2017","apr","American Economic Association","9","2","219--255","Samuel Bazzi","Wealth Heterogeneity and the Income Elasticity of Migration","American Economic Journal: Applied Economics","Bazzi_2017","article"
"23","10.1257/app.20170048","https://doi.org/10.1257%2Fapp.20170048","2018","apr","American Economic Association","10","2","298--330","Chie Hanaoka and Hitoshi Shigeoka and Yasutora Watanabe","Do Risk Preferences Change? Evidence from the Great East Japan Earthquake","American Economic Journal: Applied Economics","Hanaoka_2018","article"
"24","10.1257/mac.20130041","https://doi.org/10.1257%2Fmac.20130041","2015","oct","American Economic Association","7","4","104--133","Berthold Herrendorf and Christopher Herrington and {\'{A}}kos Valentinyi","Sectoral Technology and Structural Transformation","American Economic Journal: Macroeconomics","Herrendorf_2015","article"
"25","10.1257/mac.20130105","https://doi.org/10.1257%2Fmac.20130105","2015","apr","American Economic Association","7","2","58--94","Chadwick C. Curtis and Steven Lugauer and Nelson C. Mark","Demographic Patterns and Household Saving in China","American Economic Journal: Macroeconomics","Curtis_2015","article"
"26","10.1257/mac.20130143","https://doi.org/10.1257%2Fmac.20130143","2015","jul","American Economic Association","7","3","123--152","Julio J. Rotemberg","A Behavioral Model of the Popularity and Regulation of Demandable Liabilities","American Economic Journal: Macroeconomics","Rotemberg_2015","article"
"27","10.1257/mac.20130337","https://doi.org/10.1257%2Fmac.20130337","2016","jan","American Economic Association","8","1","42--97","Gaetano Gaballo","Rational Inattention to News: The Perils of Forward Guidance","American Economic Journal: Macroeconomics","Gaballo_2016","article"
"28","10.1257/mac.20140033","https://doi.org/10.1257%2Fmac.20140033","2016","apr","American Economic Association","8","2","85--110","Christopher R. Knittel and Robert S. Pindyck","The Simple Economics of Commodity Price Speculation","American Economic Journal: Macroeconomics","Knittel_2016","article"
"29","10.1257/mac.20140234","https://doi.org/10.1257%2Fmac.20140234","2017","apr","American Economic Association","9","2","73--114","Kaiji Chen and Yi Wen","The Great Housing Boom of China","American Economic Journal: Macroeconomics","Chen_2017","article"
"30","10.1257/mac.20140362","https://doi.org/10.1257%2Fmac.20140362","2016","apr","American Economic Association","8","2","137--181","Viktoria Hnatkovska and Amartya Lahiri and Carlos A. Vegh","The Exchange Rate Response to Monetary Policy Innovations","American Economic Journal: Macroeconomics","Hnatkovska_2016","article"
"31","10.1257/mac.20150017","https://doi.org/10.1257%2Fmac.20150017","2016","jul","American Economic Association","8","3","1--41","Gian Luca Clementi and Berardino Palazzo","Entry, Exit, Firm Dynamics, and Aggregate Fluctuations","American Economic Journal: Macroeconomics","Clementi_2016","article"
"32","10.1257/mac.20150109","https://doi.org/10.1257%2Fmac.20150109","2017","jul","American Economic Association","9","3","116--146","Alessio Moro and Solmaz Moslehi and Satoshi Tanaka","Does Home Production Drive Structural Transformation?","American Economic Journal: Macroeconomics","Moro_2017","article"
"33","10.1257/mac.20160353","https://doi.org/10.1257%2Fmac.20160353","2017","oct","American Economic Association","9","4","254--280","Enghin Atalay","How Important Are Sectoral Shocks?","American Economic Journal: Macroeconomics","Atalay_2017","article"
"34","10.1257/mac.20130028","https://doi.org/10.1257%2Fmac.20130028","2015","apr","American Economic Association","7","2","124--156","Philip Jung and Keith Kuester","Optimal Labor-Market Policy in Recessions","American Economic Journal: Macroeconomics","Jung_2015","article"
"35","10.1257/mac.20130170","https://doi.org/10.1257%2Fmac.20130170","2015","jul","American Economic Association","7","3","189--225","Matteo Cervellati and Uwe Sunde","The Economic and Demographic Transition, Mortality, and Comparative Development","American Economic Journal: Macroeconomics","Cervellati_2015","article"
"36","10.1257/mac.20130176","https://doi.org/10.1257%2Fmac.20130176","2015","jan","American Economic Association","7","1","258--296","Lars E. O. Svensson","The Possible Unemployment Cost of Average Inflation below a Credible Target","American Economic Journal: Macroeconomics","Svensson_2015","article"
"37","10.1257/mac.20130183","https://doi.org/10.1257%2Fmac.20130183","2016","jan","American Economic Association","8","1","242--284","Ana Fostel and John Geanakoplos","Financial Innovation, Collateral, and Investment","American Economic Journal: Macroeconomics","Fostel_2016","article"
"38","10.1257/app.20130399","https://doi.org/10.1257%2Fapp.20130399","2016","oct","American Economic Association","8","4","66--99","Martin Kanz","What Does Debt Relief Do for Development? Evidence from India{\textquotesingle}s Bailout for Rural Households","American Economic Journal: Applied Economics","Kanz_2016","article"
"39","10.1257/app.20140404","https://doi.org/10.1257%2Fapp.20140404","2016","apr","American Economic Association","8","2","154--194","Sebastian Axbard","Income Opportunities and Sea Piracy in Indonesia: Evidence from Satellite Data","American Economic Journal: Applied Economics","Axbard_2016","article"
"40","10.1257/app.20150044","https://doi.org/10.1257%2Fapp.20150044","2016","jan","American Economic Association","8","1","1--32","Abel Brodeur and Mathias L{\'{e}} and Marc Sangnier and Yanos Zylberberg","Star Wars: The Empirics Strike Back","American Economic Journal: Applied Economics","Brodeur_2016","article"
"41","10.1257/mac.20120163","https://doi.org/10.1257%2Fmac.20120163","2015","oct","American Economic Association","7","4","160--187","Christian Bayer and Falko Juessen","Happiness and the Persistence of Income Shocks","American Economic Journal: Macroeconomics","Bayer_2015","article"
"42","10.1257/mac.20120257","https://doi.org/10.1257%2Fmac.20120257","2016","jan","American Economic Association","8","1","199--241","Simeon D. Alder","In the Wrong Hands: Complementarities, Resource Allocation, and {TFP}","American Economic Journal: Macroeconomics","Alder_2016","article"
"43","10.1257/mac.20130139","https://doi.org/10.1257%2Fmac.20130139","2016","jul","American Economic Association","8","3","77--112","Rui Castro and Daniele Coen-Pirani","Explaining the Evolution of Educational Attainment in the United States","American Economic Journal: Macroeconomics","Castro_2016","article"
"44","10.1257/mac.20130265","https://doi.org/10.1257%2Fmac.20130265","2015","jul","American Economic Association","7","3","295--330","Andrew J. Jalil","A New History of Banking Panics in the United States, 1825{\textendash}1929: Construction and Implications","American Economic Journal: Macroeconomics","Jalil_2015","article"
"45","10.1257/mac.20150220","https://doi.org/10.1257%2Fmac.20150220","2017","jan","American Economic Association","9","1","165--204","Stephanie Schmitt-Groh{\'{e}} and Mart{\'{\i}}n Uribe","Liquidity Traps and Jobless Recoveries","American Economic Journal: Macroeconomics","Schmitt_Groh__2017","article"
"46","10.1257/mac.20130190","https://doi.org/10.1257%2Fmac.20130190","2016","apr","American Economic Association","8","2","1--44","Romain Ranci{\`{e}}re and Aaron Tornell","Financial Liberalization, Debt Mismatch, Allocative Efficiency, and Growth","American Economic Journal: Macroeconomics","Ranci_re_2016","article"
"47","10.1257/mac.20130212","https://doi.org/10.1257%2Fmac.20130212","2015","jul","American Economic Association","7","3","1--42","Francisco J. Buera and Benjamin Moll","Aggregate Implications of a Credit Crunch: The Importance of Heterogeneity","American Economic Journal: Macroeconomics","Buera_2015","article"
"48","10.1257/mac.20130231","https://doi.org/10.1257%2Fmac.20130231","2015","jul","American Economic Association","7","3","43--83","Jean Imbs and Isabelle Mejean","Elasticity Optimism","American Economic Journal: Macroeconomics","Imbs_2015","article"
"49","10.1257/mac.20130234","https://doi.org/10.1257%2Fmac.20130234","2015","oct","American Economic Association","7","4","134--159","JÖrn Kleinert and Julien Martin and Farid Toubal","The Few Leading the Many: Foreign Affiliates and Business Cycle Comovement","American Economic Journal: Macroeconomics","Kleinert_2015","article"
"50","10.1257/app.20140494","https://doi.org/10.1257%2Fapp.20140494","2016","oct","American Economic Association","8","4","222--255","Alberto Chong and Isabelle Cohen and Erica Field and Eduardo Nakasone and Maximo Torero","Iron Deficiency and Schooling Attainment in Peru","American Economic Journal: Applied Economics","Chong_2016","article"
"51","10.1257/app.20140506","https://doi.org/10.1257%2Fapp.20140506","2016","apr","American Economic Association","8","2","225--254","Nadine Ketel and Edwin Leuven and Hessel Oosterbeek and Bas van der Klaauw","The Returns to Medical School: Evidence from Admission Lotteries","American Economic Journal: Applied Economics","Ketel_2016","article"
