"","DOI","title","author","year","volume","number","url","journal"
"1","10.1257/app.20130369","Kwacha Gonna Do? Experimental Evidence about Labor Supply in Rural Malawi","Jessica Goldberg","2016","8","1","https://doi.org/10.1257/app.20130369","American Economic Journal: Applied Economics"
"2","10.1257/app.20140073","The Contribution of the Minimum Wage to {US} Wage Inequality over Three Decades: A Reassessment","David H. Autor and Alan Manning and Christopher L. Smith","2016","8","1","https://doi.org/10.1257/app.20140073","American Economic Journal: Applied Economics"
"3","10.1257/app.20140323","Birthdays, Schooling, and Crime: Regression-Discontinuity Analysis of School Performance, Delinquency, Dropout, and Crime Initiation","Philip J. Cook and Songman Kang","2016","8","1","https://doi.org/10.1257/app.20140323","American Economic Journal: Applied Economics"
"4","10.1257/app.20140362","Internal Labor Migration as a Shock Coping Strategy: Evidence from a Typhoon","Andr{\'{e}} Gröger and Yanos Zylberberg","2016","8","2","https://doi.org/10.1257/app.20140362","American Economic Journal: Applied Economics"
"5","10.1257/app.20140468","Can Social Information Affect What Job You Choose and Keep?","Lucas C. Coffman and Clayton R. Featherstone and Judd B. Kessler","2017","9","1","https://doi.org/10.1257/app.20140468","American Economic Journal: Applied Economics"
"6","10.1257/app.20150004","Regulation of Insurance with Adverse Selection and Switching Costs: Evidence from Medicare Part D","Maria Polyakova","2016","8","3","https://doi.org/10.1257/app.20150004","American Economic Journal: Applied Economics"
"7","10.1257/app.20150059","Learning by Driving: Productivity Improvements by New York City Taxi Drivers","Kareem Haggag and Brian McManus and Giovanni Paci","2017","9","1","https://doi.org/10.1257/app.20150059","American Economic Journal: Applied Economics"
"8","10.1257/app.20150342","Customary Norms, Inheritance, and Human Capital: Evidence from a Reform of the Matrilineal System in Ghana","Eliana La Ferrara and Annamaria Milazzo","2017","9","4","https://doi.org/10.1257/app.20150342","American Economic Journal: Applied Economics"
"9","10.1257/app.20150365","Education and Mortality: Evidence from a Social Experiment","Costas Meghir and M{\aa}rten Palme and Emilia Simeonova","2018","10","2","https://doi.org/10.1257/app.20150365","American Economic Journal: Applied Economics"
"10","10.1257/app.20150512","Politics and Local Economic Growth: Evidence from India","Sam Asher and Paul Novosad","2017","9","1","https://doi.org/10.1257/app.20150512","American Economic Journal: Applied Economics"
"11","10.1257/app.20160597","Banking the Unbanked? Evidence from Three Countries","Pascaline Dupas and Dean Karlan and Jonathan Robinson and Diego Ubfal","2018","10","2","https://doi.org/10.1257/app.20160597","American Economic Journal: Applied Economics"
"12","10.1257/mac.20120197","How Much of South Korea's Growth Miracle Can Be Explained by Trade Policy?","Michelle Connolly and Kei-Mu Yi","2015","7","4","https://doi.org/10.1257/mac.20120197","American Economic Journal: Macroeconomics"
"13","10.1257/mac.20130237","Rounding the Corners of the Policy Trilemma: Sources of Monetary Policy Autonomy","Michael W. Klein and Jay C. Shambaugh","2015","7","4","https://doi.org/10.1257/mac.20130237","American Economic Journal: Macroeconomics"
"14","10.1257/mac.20110110","Optimal Mirrleesean Taxation in a Ben-Porath Economy","Marek Kapi{\v{c}}ka","2015","7","2","https://doi.org/10.1257/mac.20110110","American Economic Journal: Macroeconomics"
"15","10.1257/mac.20120155","Understanding Markups in the Open Economy","Beatriz de Blas and Katheryn N. Russ","2015","7","2","https://doi.org/10.1257/mac.20120155","American Economic Journal: Macroeconomics"
"16","10.1257/mac.20130011","Market Exposure and Endogenous Firm Volatility over the Business Cycle","Ryan A. Decker and Pablo N. D{\textquotesingle}Erasmo and Hernan Moscoso Boedo","2016","8","1","https://doi.org/10.1257/mac.20130011","American Economic Journal: Macroeconomics"
"17","10.1257/mac.20130014","Public Debt and Changing Inflation Targets","Michael U. Krause and St{\'{e}}phane Moyen","2016","8","4","https://doi.org/10.1257/mac.20130014","American Economic Journal: Macroeconomics"
"18","10.1257/app.20130170","Demand for Alcohol Consumption in Russia and Its Implication for Mortality","Evgeny Yakovlev","2018","10","1","https://doi.org/10.1257/app.20130170","American Economic Journal: Applied Economics"
"19","10.1257/app.20150149","The Impact of High School Financial Education: Evidence from a Large-Scale Evaluation in Brazil","Miriam Bruhn and Luciana de Souza Le{\~{a}}o and Arianna Legovini and Rogelio Marchetti and Bilal Zia","2016","8","4","https://doi.org/10.1257/app.20150149","American Economic Journal: Applied Economics"
"20","10.1257/app.20150245","The Effects of Micro-entrepreneurship Programs on Labor Market Performance: Experimental Evidence from Chile","Claudia Mart{\'{\i}}nez A. and Esteban Puentes and Jaime Ruiz-Tagle","2018","10","2","https://doi.org/10.1257/app.20150245","American Economic Journal: Applied Economics"
"21","10.1257/app.20150447","The Local Political Economy Effects of School Construction in Indonesia","Monica Martinez-Bravo","2017","9","2","https://doi.org/10.1257/app.20150447","American Economic Journal: Applied Economics"
"22","10.1257/app.20150548","Wealth Heterogeneity and the Income Elasticity of Migration","Samuel Bazzi","2017","9","2","https://doi.org/10.1257/app.20150548","American Economic Journal: Applied Economics"
"23","10.1257/app.20170048","Do Risk Preferences Change? Evidence from the Great East Japan Earthquake","Chie Hanaoka and Hitoshi Shigeoka and Yasutora Watanabe","2018","10","2","https://doi.org/10.1257/app.20170048","American Economic Journal: Applied Economics"
"24","10.1257/mac.20130041","Sectoral Technology and Structural Transformation","Berthold Herrendorf and Christopher Herrington and {\'{A}}kos Valentinyi","2015","7","4","https://doi.org/10.1257/mac.20130041","American Economic Journal: Macroeconomics"
"25","10.1257/mac.20130105","Demographic Patterns and Household Saving in China","Chadwick C. Curtis and Steven Lugauer and Nelson C. Mark","2015","7","2","https://doi.org/10.1257/mac.20130105","American Economic Journal: Macroeconomics"
"26","10.1257/mac.20130143","A Behavioral Model of the Popularity and Regulation of Demandable Liabilities","Julio J. Rotemberg","2015","7","3","https://doi.org/10.1257/mac.20130143","American Economic Journal: Macroeconomics"
"27","10.1257/mac.20130337","Rational Inattention to News: The Perils of Forward Guidance","Gaetano Gaballo","2016","8","1","https://doi.org/10.1257/mac.20130337","American Economic Journal: Macroeconomics"
"28","10.1257/mac.20140033","The Simple Economics of Commodity Price Speculation","Christopher R. Knittel and Robert S. Pindyck","2016","8","2","https://doi.org/10.1257/mac.20140033","American Economic Journal: Macroeconomics"
"29","10.1257/mac.20140234","The Great Housing Boom of China","Kaiji Chen and Yi Wen","2017","9","2","https://doi.org/10.1257/mac.20140234","American Economic Journal: Macroeconomics"
"30","10.1257/mac.20140362","The Exchange Rate Response to Monetary Policy Innovations","Viktoria Hnatkovska and Amartya Lahiri and Carlos A. Vegh","2016","8","2","https://doi.org/10.1257/mac.20140362","American Economic Journal: Macroeconomics"
"31","10.1257/mac.20150017","Entry, Exit, Firm Dynamics, and Aggregate Fluctuations","Gian Luca Clementi and Berardino Palazzo","2016","8","3","https://doi.org/10.1257/mac.20150017","American Economic Journal: Macroeconomics"
"32","10.1257/mac.20150109","Does Home Production Drive Structural Transformation?","Alessio Moro and Solmaz Moslehi and Satoshi Tanaka","2017","9","3","https://doi.org/10.1257/mac.20150109","American Economic Journal: Macroeconomics"
"33","10.1257/mac.20160353","How Important Are Sectoral Shocks?","Enghin Atalay","2017","9","4","https://doi.org/10.1257/mac.20160353","American Economic Journal: Macroeconomics"
"34","10.1257/mac.20130028","Optimal Labor-Market Policy in Recessions","Philip Jung and Keith Kuester","2015","7","2","https://doi.org/10.1257/mac.20130028","American Economic Journal: Macroeconomics"
"35","10.1257/mac.20130170","The Economic and Demographic Transition, Mortality, and Comparative Development","Matteo Cervellati and Uwe Sunde","2015","7","3","https://doi.org/10.1257/mac.20130170","American Economic Journal: Macroeconomics"
"36","10.1257/mac.20130176","The Possible Unemployment Cost of Average Inflation below a Credible Target","Lars E. O. Svensson","2015","7","1","https://doi.org/10.1257/mac.20130176","American Economic Journal: Macroeconomics"
"37","10.1257/mac.20130183","Financial Innovation, Collateral, and Investment","Ana Fostel and John Geanakoplos","2016","8","1","https://doi.org/10.1257/mac.20130183","American Economic Journal: Macroeconomics"
"38","10.1257/app.20130399","What Does Debt Relief Do for Development? Evidence from India{\textquotesingle}s Bailout for Rural Households","Martin Kanz","2016","8","4","https://doi.org/10.1257/app.20130399","American Economic Journal: Applied Economics"
"39","10.1257/app.20140404","Income Opportunities and Sea Piracy in Indonesia: Evidence from Satellite Data","Sebastian Axbard","2016","8","2","https://doi.org/10.1257/app.20140404","American Economic Journal: Applied Economics"
"40","10.1257/app.20150044","Star Wars: The Empirics Strike Back","Abel Brodeur and Mathias L{\'{e}} and Marc Sangnier and Yanos Zylberberg","2016","8","1","https://doi.org/10.1257/app.20150044","American Economic Journal: Applied Economics"
"41","10.1257/mac.20120163","Happiness and the Persistence of Income Shocks","Christian Bayer and Falko Juessen","2015","7","4","https://doi.org/10.1257/mac.20120163","American Economic Journal: Macroeconomics"
"42","10.1257/mac.20120257","In the Wrong Hands: Complementarities, Resource Allocation, and {TFP}","Simeon D. Alder","2016","8","1","https://doi.org/10.1257/mac.20120257","American Economic Journal: Macroeconomics"
"43","10.1257/mac.20130139","Explaining the Evolution of Educational Attainment in the United States","Rui Castro and Daniele Coen-Pirani","2016","8","3","https://doi.org/10.1257/mac.20130139","American Economic Journal: Macroeconomics"
