"institution_display_name","institution_id","institution_ror","institution_country_code"
"117th Hospital of People's Liberation Army","https://openalex.org/I4210098570","https://ror.org/015z4kn26","CN"
"3M (United States)","https://openalex.org/I1340755506","https://ror.org/00mgss748","US"
"58.com (China)","https://openalex.org/I4210156353","https://ror.org/05v15sz79","CN"
"81th Hospital of PLA","https://openalex.org/I4210118317","https://ror.org/02xxx6w64","CN"
"A.P. Giannini Foundation","https://openalex.org/I4210113107","https://ror.org/01e3cnp62","US"
"ARC Centre of Excellence for Core to Crust Fluid Systems","https://openalex.org/I4210126299","https://ror.org/03nk9pp38","AU"
"AT Sciences (United States)","https://openalex.org/I4210162237","https://ror.org/04cgz2t37","US"
"AT&T (United States)","https://openalex.org/I1283103587","https://ror.org/02bbd5539","US"
"Aalborg University","https://openalex.org/I891191580","https://ror.org/04m5j1k67","DK"
"Aalborg University Hospital","https://openalex.org/I2799976261","https://ror.org/02jk5qe80","DK"
"Aalto University","https://openalex.org/I9927081","https://ror.org/020hwjq30","FI"
"Aarhus Municipality","https://openalex.org/I2800392737","https://ror.org/02wwbem66","DK"
"Aarhus University","https://openalex.org/I204337017","https://ror.org/01aj84f44","DK"
"Aarhus University Hospital","https://openalex.org/I2802335433","https://ror.org/040r8fr65","DK"
"AbbVie (United States)","https://openalex.org/I2948539688","https://ror.org/02g5p4n58","US"
"Abbott (United States)","https://openalex.org/I4210088555","https://ror.org/0052svj16","US"
"Abbott Northwestern Hospital","https://openalex.org/I1319743688","https://ror.org/01fzm0693","US"
"Abdul Latif Jameel Poverty Action Lab","https://openalex.org/I4210113636","https://ror.org/01nztb982","US"
"Aberystwyth University","https://openalex.org/I16038530","https://ror.org/015m2p889","GB"
"Academia Sinica","https://openalex.org/I84653119","https://ror.org/05bxb3784","TW"
"Academy of Mathematics and Systems Science","https://openalex.org/I4210120485","https://ror.org/02jkmyk67","CN"
"Academy of Opto-Electronics","https://openalex.org/I4210151155","https://ror.org/04acsr153","CN"
"Access","https://openalex.org/I4210121009","https://ror.org/02gwe8432","DE"
"Access to Wholistic and Productive Living Institute","https://openalex.org/I4210160970","https://ror.org/04zncpe92","US"
