"","Timestamp","NetID","DOI","TypeOfArticle","OnlineData","AdditionalMaterialNumber","OnlineMaterials1_DOI","OnlineData_1","DataAbsence","DataRunClean","OnlineDataDOI2","OnlineDataHandle2","OnlineDataURL2","DataAvailability","DataAvailabilityAccess","DataAvailabilityExclusive","OtherNotes1","Is there some other online material that you wish to describe","OnlineDataDOI2_1","OnlineDataHandle2_1","OnlineDataURL2_1","DataAvailability2","DataAvailabilityAccess2","DataAvailabilityExclusive2","OtherNotes2","Do you want to describe another dataset","OnlineDataDOI3","OnlineDataHandle3","OnlineDataURL3","DataAvailability3","DataAvailabilityAccess3","DataAvailabilityExclusive3","OtherNotes3","DataRunFinal","OnlineFinalDataDOI","OnlineFinalDataHandle","OnlineFinalDataURL","FinalDataAvailability","FinalDataAvailabilityAccess","FinalDataAvailabilityExclusive","OtherNotesFinal","DataFormatInputs","OnlineDataFormat2","OnlinePrograms","OnlineProgramsInside","OnlineProgramsDOI","OnlineProgramsHDL","OnlineProgramsURL","DocReadmePresent","DocReadmeContent","ProgramFormat","ProgramSequence","ProgramsDocumentation","ProgramsHeaderAuthor","ProgramsHeaderInfo","ProgramsStructureManual","GeneralNotes","How difficult do you think replicating the article will be","OnlineMaterials","OnlineMaterials1","X61","X62","Do you want to describe another dataset provided with the article","OnlineMaterials1_URL","OnlineMaterials2","OnlineMaterials2_URL","OnlineMaterials2_DOI","Is there some other online material that you wish to describe_1","OnlineMaterials3","OnlineMaterials3_URL","OnlineMaterials3_DOI","AnalysisData","OnlineMaterials1_Description","OnlineMaterials2_Description","OnlineMaterials3_Description","Programs","OnlineDataProvided","DataSetNumbers","DataSetClassification1","OnlineDataDOI1","OnlineDataHandle1","OnlineDataURL1","OnlineDataFormat1","DataSetClassification2","OtherNotes2_1","InputData","InputData1","InputDataRef","InputDataDOI1","InputDataURL1","InputDataHandle1","InputDataFormat1","InputDataAvailability1","X94","InputData2","InputDataDOI2","InputDataHandle2","InputDataURL2","InputDataFormat2","InputDataAvailability2","InputDataOtherNotes1","InputDataOtherNotes2","Flag for follow-up","OnlinePrograms_1","[Row 1]","flag2011"
"1","6/11/2015 10:12:25","nab227","10.1257/app.2.1.149","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.aeaweb.org/aej/app/data/2009-0060_data.zip",NA,NA,"Stata","Yes","Yes","No","No","Yes",NA,1,"Yes","https://www.aeaweb.org/aej/app/data/2009-0060_data.zip",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Input Data",NA,NA,"http://www.aeaweb.org/aej/app/data/2009-0060_data.zip","Stata",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"2","6/11/2015 10:43:39","yx77","10.1257/app.2.1.165","Yes",NA,NA,"10.1257/app.2.1.165",NA,"Confidential Data, Missing data (no justification)",NA,NA,NA,NA,NA,"No","No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"doi://10.1257/app.2.1.165",NA,"https://www.aeaweb.org/aej/app/data/2008-0151_data.zip",NA,NA,"Stata","Yes","Yes","Yes","Yes","Yes",NA,3,"Yes","https://www.aeaweb.org/articles.php?doi=10.1257/app.2.1.165",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Input Data","doi://10.1257/app.2.1.165",NA,"http://www.aeaweb.org/aej/app/data/2008-0151_data.zip","Stata",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3","6/11/2015 11:28:40","nab227","10.1257/app.2.2.95","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.aeaweb.org/aej/app/data/2008-0202_data.zip",NA,NA,"Stata","Yes","Yes","No","No","No","The instructions for replication given in the readme seem easy to follow",2,"Yes","https://www.aeaweb.org/aej/app/data/2008-0202_data.zip",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Analysis Data",NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0202_data.zip","Stata",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"Don't know","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4","6/11/2015 13:08:22","aec247","10.1257/app.2.1.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0139_data.zip",NA,NA,"Stata","Yes","Yes","No","No","No",NA,2,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Analysis Data",NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0139_data.zip","Stata",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"The input data were from birth certificates and infant death certificates for the years 1978–1999.  There are no further details on the input data source.",NA,NA,NA,NA,0
"5","6/11/2015 13:19:40","aec247","10.1257/app.2.1.211","Yes",NA,NA,NA,NA,"Confidential Data, Proprietary Data",NA,NA,NA,NA,NA,"Yes","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2009-0014_data.zip",NA,NA,"Stata","Yes","Yes","No","No","No",NA,4,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","No",NA,NA,NA,NA,NA,"Excel, txt, Stata",NA,NA,"Yes","Alachua County, Florida School District",NA,NA,NA,NA,"Stata","No","No",NA,NA,NA,NA,NA,NA,"Need to receive written permission from Alachua County Public Schools, then reach out to author Mark Hoekstra for the deidentified raw dataset.",NA,NA,NA,NA,0
"6","6/11/2015 13:31:46","aec247","10.1257/app.2.2.164","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0129_data.zip",NA,NA,"SPSS, Word","Yes","Yes","No","No","No",NA,3,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Analysis Data",NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0129_data.zip","SPSS",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"Don't know","No",NA,NA,NA,NA,NA,NA,"Researchers collected the data by asking customers at a fast-food sandwich restaurant to complete surveys.",NA,NA,NA,NA,0
"7","6/11/2015 14:12:00","aec247","10.1257/app.2.3.96","Yes",NA,NA,NA,NA,"Proprietary Data",NA,NA,NA,NA,NA,"Yes","No",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0231_data.zip",NA,NA,"Stata","Yes","Yes","No","No","No",NA,5,"Yes","http://www.aeaweb.org/aej/app/app/2008-0231_app.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDF of tables and analysis using a different version of equation (3) in the paper.",NA,NA,"Yes","No",NA,NA,NA,NA,NA,"Confidential",NA,NA,"Yes","Detroit's First Work program and unemployment insturance wage records for the State of Michigan",NA,NA,NA,NA,"Stata","No","No",NA,NA,NA,NA,NA,NA,"Researchers can access microdata through the Upjohn Institute (contact info provided).  Researchers can either submit programs for the Institute research assistants to run, or work directly with the data on the Institute's premises.",NA,NA,NA,NA,0
"8","6/11/2015 14:16:47","aec247","10.1257/app.2.4.42","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There are 9 Stata datasets in the zip file.","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0100_data.zip",NA,NA,"Stata","Yes","Yes","Yes","No","No",NA,2,"Yes","http://www.aeaweb.org/aej/app/app/2008-0100_app.pdf",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PDF with supplementary tables discussed in the paper.",NA,NA,"Yes","Yes",NA,"Analysis Data",NA,NA,"http://www.aeaweb.org/aej/app/data/2008-0100_data.zip","Stata",NA,NA,"Yes","Indian Census",NA,NA,NA,NA,NA,"Don't know","Yes","India's National Sample Survey",NA,NA,NA,NA,"Don't know",NA,NA,NA,NA,NA,0
"9","6/11/2015 23:29:17","sjh269","10.1257/app.2.1.62","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.aeaweb.org/aej/app/data/2009-0119_data.zip",NA,NA,"Stata","Yes","Yes","No","No","No",NA,1,"No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Analysis Data",NA,NA,"http://www.aeaweb.org/aej/app/data/2009-0119_data.zip","Stata",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"10","6/12/2015 10:38:51","yx77","10.1257/app.2.2.118","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"doi://10.1257/app.2.2.118",NA,"https://www.aeaweb.org/aej/app/data/2008-0229_data.zip",NA,NA,"Stata","Yes","Yes","Yes","Yes","No",NA,2,"Yes","https://www.aeaweb.org/aej/app/app/2008-0229_app.pdf",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Analysis Data","doi://10.1257/app.2.2.118",NA,"http://www.aeaweb.org/aej/app/data/2008-0229_data.zip","Stata",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
