"","Timestamp","DOI","TypeOfArticle","OnlineMaterials","OnlineDataProvided","OnlineDataURL1","OnlineDataDOI1","X8","OnlineDataHandle1","OnlineDataInside","OnlineMaterials1","OnlineMaterials1_DOI","OnlinePrograms","OnlineProgramsInside","OnlineProgramsDOI","OnlineProgramsHDL","OnlineProgramsURL","DocReadmePresent","DocReadmeContent","DataAvailability","DataAvailabilityAccess","DataAvailabilityExclusive","DataRunClean","DataRunFinal","DataRunIntermediate","InputDataFormat1","OnlineDataFormat2","ProgramFormat","ProgramSequence","ProgramsDocumentation","ProgramsHeaderAuthor","ProgramsHeaderInfo","ProgramsStructureManual","NetID","GeneralNotes","How difficult do you think replicating the article will be","OnlineProgramsDOI_1","OnlineDataFormat1","DataSetClassification1","DataSetClassification2","OnlineDataDOI2","OnlineDataURL2","OnlineDataHandle2","flag2011"
"1","6/11/2014 3:09:33","10.1257/app.1.2.64","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2007-0098_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,"Yes","provides instructions for replication","No","No","Yes","Yes","Yes","Yes","Stata","Stata","Stata","Yes",NA,NA,NA,"No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2007-0098_data.zip",NA,1
"2","6/18/2014 15:19:16","10.1257/app.5.2.29","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0049_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0049_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0049_data.zip","Yes","provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","Yes","No","sl2296","Some of the do files without meta data.",1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0049_data.zip",NA,1
"3","6/19/2014 1:09:43","10.1257/app.5.3.1","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0191_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0191_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0191_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","DK","DK","DK","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0191_data.zip",NA,1
"4","6/19/2014 1:30:02","10.1257/app.5.3.27","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2012-0252_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0252_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","No","Yes","No","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0252_data.zip",NA,1
"5","6/19/2014 1:37:30","10.1257/app.5.3.41","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0175_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/app/2012-0175_app.pdf",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0175_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","No","Yes","No","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0175_data.zip",NA,1
"6","6/21/2014 5:25:56","10.1257/app.5.3.91","Yes","No","Yes","http://www.aeaweb.org/aej/app/data/2012-0250_data.zip",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0250_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","Yes","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","si75",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0250_data.zip",NA,1
"7","6/22/2014 19:26:55","10.1257/app.5.2.86","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0141_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0141_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0141_data.zip","Yes","lists all included files, documents the purpose of each file, provides instructions for replication","Yes","No","No","No","Yes","Yes","Unclear","Stata","Stata","Yes","Yes","Yes","Yes","No","sl2296","Includes data used for producing the final results. Complete CHARLS data set available at http:charls.ccer.edu.cn, which was not available at the point of article submission.",1,NA,"Unclear","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0141_data.zip",NA,1
"8","6/22/2014 19:30:13","10.1257/app.5.2.122","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2012-0117_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0117_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2012-0117_data.zip","Yes","lists all included files, documents the purpose of each file","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","sl2296",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2012-0117_data.zip",NA,1
"9","6/22/2014 19:44:12","10.1257/app.5.2.151","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2011-0209_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0209_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0209_data.zip","Yes","lists all included files, documents the purpose of each file, provides instructions for replication","Yes","No","No","Yes","Yes","Yes","Stata","Stata","Stata","Yes","Yes","No","No","No","sl2296",NA,1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0209_data.zip",NA,1
"10","6/22/2014 20:11:44","10.1257/app.5.2.232","Yes","Yes","Yes","http://www.aeaweb.org/aej/app/data/2011-0367_data.zip",NA,NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0367_data.zip",NA,"Yes",NA,NA,NA,"http://www.aeaweb.org/aej/app/data/2011-0367_data.zip","Yes","lists all included files, documents the purpose of each file, documents the format of each file, provides instructions for replication","Yes","No","No","No","Yes","Yes","Stata","Stata","Stata","Yes","Yes","Yes","Yes","Yes","sl2296","Adjusting root directory of the do file needed before running the program. Additional pdf file with more detailed source of data available at http://www.aeaweb.org/aej/app/app/2011-0367_app.pdf",1,NA,"Stata","Input Data","Analysis Data",NA,"http://www.aeaweb.org/aej/app/data/2011-0367_data.zip",NA,1
