"","Timestamp","NetID or email","DOI","Code_Success","Program_Run_Clean","Directory_Change","Code_Changes","Output_Accuracy","Discrepancy_Location","X10","X11","Software_Extensions","Software_Version","First_Replicator","Common_Issues","Overcome_Issues","Replication_Helpfulness","X18","X19","How difficult do you think the replication exercise was","Comments on difficulty","GeneralNotes","What Software did you use for the replication (including the version)","Replication_Success","Main_Issue","Data_Type","Data_Access_Type","Software_Type","Data_Type_1","Cost of data access (in approximate $)","Cost of software purchase (in approximate $)","What software did the authors use to run their programs (if specified)"
"1","7/21/2014 17:11:59","sl2296","10.1257/app.5.3.113","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.",NA,"Yes",NA,NA,NA,"Yes","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,2,NA,"Had to add .ado files for some commands not provided as default by Stata13 (could not enter answer to Code_changes question)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","7/21/2014 17:15:48","sl2296","10.1257/app.5.2.179","Yes","No, I needed to make changes in the code.","Yes",NA,"Yes",NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","To point out where in the regression results some of  the tables could be found",1,"Did not require any additional modification in codes other than directory change","Running the program itself takes a lot of time and it is difficult to find which regression to look for certain table results. Other than that, the replication itself was not difficult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","7/22/2014 20:49:26","sl2296","10.1257/app.5.3.170","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.",NA,"No, some of the numbers are different.","Table2, last column F-stat
TableC1, second column coefficients",NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","To point out source of table1",2,"Table4 is not replicable as the data is not given, but the replication itself is not difficult to do.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","7/28/2014 8:05:59","sl2296","10.1257/app.5.4.165","Yes","No, I needed to make changes in the code.","Yes",NA,"No, some of the numbers are different.","Tables 1~5 results differ from values in the paper",NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","Correctly point out purpose of some do files",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","7/28/2014 8:09:16","sl2296","10.1257/app.5.4.111","Yes","No, I needed to make changes in the code.","No, the changes to the code were more involved.",NA,"Yes","Table 1, 5, 6",NA,NA,"Yes","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,4,NA,"Needed to comment out some install commands and add ado files to run the program.
One of the dataset is private, so modified version was provided, which led to different values from the paper in table 1, 5, 6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","7/28/2014 14:26:41","si75","10.1257/app.5.3.63","Yes","Yes, no changes were necessary.",NA,NA,"Yes",NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","Only gave information as to replicate Table 1 and not the other tables/figures.",2,NA,"Though the authors included the programs to gather the data from the internet through Google Scholar, their program is no longer functional due to a change in the format of Google Scholar. They provided the dataset they used however, so the programs could still be used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","7/29/2014 10:08:39","si75","10.1257/app.5.1.65","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.","The output from these programs were very long and wordy, making it difficult to look through everything to find the data that was actually used - would have been nice to have the authors point to the information used in the article.",5,"The program uses a dataset of 3.7GB in size and then expands the dataset to 6.7GB. Such an expansive dataset makes the programs take hours to run, and also results in thousands of lines of output, making it difficult to determine what analyses were actually used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","7/29/2014 17:04:08","si75","10.1257/app.5.3.136","No",NA,NA,NA,NA,NA,NA,NA,"No","Yes","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.","Hard to say as the program could not be run due to a lack of dataset but the readme seems to be complete",5,NA,"Datasets used for the analysis was unable for access.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","8/3/2014 13:59:02","si75","10.1257/app.5.2.86","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Complete. Provided all information required to run the programs.",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","8/3/2014 14:39:36","si75","10.1257/app.5.4.206","No",NA,NA,NA,NA,NA,NA,NA,"No","DK","Yes",NA,NA,NA,"Incomplete. Was ambiguous or left out crucial steps.",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
