"","DOI","URL","Title","Authors","Source Title","Publication Date","Year","Volume","Issue","Beginning Page","Ending Page","Entry Questionnaire","Entry Questionnaire Author","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","Start-time","End-time","Run-time for programs (minutes)","Estimated editing-time for programs, commits (minutes)","worksheet"
"1","10.1257/app.20130369","https://doi.org/10.1257/app.20130369","Kwacha Gonna Do? Experimental Evidence about Labor Supply in Rural Malawi","Goldberg, Jessica","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2016",2016,8,1,129,149,"Completed",NA,"5","ap676","Yes","No","Datasets/Programs not provided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"2","10.1257/app.20140073","https://doi.org/10.1257/app.20140073","The Contribution of the Minimum Wage to US Wage Inequality over Three Decades: A Reassessment","Autor, David H.; Manning, Alan; Smith, Christopher L.","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2016",2016,8,1,58,99,"Completed",NA,"2","ap676","In Progress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"3","10.1257/app.20140323","https://doi.org/10.1257/app.20140323","Birthdays, Schooling, and Crime: Regression-Discontinuity Analysis of School Performance, Delinquency, Dropout, and Crime Initiation","Cook, Philip J.; Kang, Songman","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2016",2016,8,1,33,57,"Completed",NA,"5","ap676","Yes","No","Datasets are confidential, access requires submitting application to North Carolina Education Research Data Center (NCERDC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"4","10.1257/app.20140362","https://doi.org/10.1257/app.20140362","Internal Labor Migration as a Shock Coping Strategy: Evidence from a Typhoon","Groeger, Andre; Zylberberg, Yanos","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2016",2016,8,2,123,153,"Completed",NA,"1","ap676","Yes","Yes","Although the code was easy to run, the regression results/stata output were not organized well. The most difficult aspect of replication was trying to find the figures used in the tables out of the large amounts of stata output.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"5","10.1257/app.20140468","https://doi.org/10.1257/app.20140468","Can Social Information Affect What Job You Choose and Keep?","Coffman, Lucas C.; Featherstone, Clayton R.; Kessler, Judd B.","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2017",2017,9,1,96,117,"Completed",NA,"2","ap676","Yes","Partial","Due to confidential demographic data, parts of the article are not reproducible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"6","10.1257/app.20150004","https://doi.org/10.1257/app.20150004","Regulation of Insurance with Adverse Selection and Switching Costs: Evidence from Medicare Part D","Polyakova, Maria","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2016",2016,8,3,165,195,"Completed",NA,"5","ap676","Yes","No","Datasets confidential, require submitting application to CMS via ResDAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"7","10.1257/app.20150059","https://doi.org/10.1257/app.20150059","Learning by Driving: Productivity Improvements by New York City Taxi Drivers","Haggag, Kareem; McManus, Brian; Paci, Giovanni","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2017",2017,9,1,70,95,"Completed",NA,"3","ap676","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"8","10.1257/app.20150342","https://doi.org/10.1257/app.20150342","Customary Norms, Inheritance, and Human Capital: Evidence from a Reform of the Matrilineal System in Ghana","La Ferrara, Eliana; Milazzo, Annamaria","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2017",2017,9,4,166,185,"Completed",NA,"4","ap676","Yes","No","No clear instructions/cleaning programs were provided to turn the raw data files into analysis data. Also, no datasets were included, although readme lists where each one could be acquired if needed.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"9","10.1257/app.20150365","https://doi.org/10.1257/app.20150365","Education and Mortality: Evidence from a Social Experiment","Meghir, Costas; Palme, Marten; Simeonova, Emilia","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2018",2018,10,2,234,256,"Completed",NA,"4","ap676","Yes","No","Most tables/figures had no code provided. For those that did, Stata output was not readable; the values that belong in the tables were indistinguishable from the rest of the output.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"10","10.1257/app.20150512","https://doi.org/10.1257/app.20150512","Politics and Local Economic Growth: Evidence from India","Asher, Sam; Novosad, Paul","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2017",2017,9,1,229,273,"Completed",NA,"2","ap676","Yes","Yes","Tedious to change the addresses at the top of every do file included, some issues with factor-variable compatibility for the eststo function",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
"11","10.1257/app.20160597","https://doi.org/10.1257/app.20160597","Banking the Unbanked? Evidence from Three Countries","Dupas, Pascaline; Karlan, Dean; Robinson, Jonathan; Ubfal, Diego","AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2018",2018,10,2,257,297,"Completed",NA,"2","ap676","Yes","Partial","Several tables incomplete, tedious to change the addresses in every program, output files too verbose",NA,"gab99","yes","partial",NA,NA,NA,NA,NA,NA,NA,"60",NA,"MASTER Summer 2018 forward"
"12","10.1257/mac.20120197","https://doi.org/10.1257/mac.20120197","How Much of South Korea's Growth Miracle Can Be Explained by Trade Policy?","Connolly, Michelle; Yi, Kei-Mu","AMERICAN ECONOMIC JOURNAL-MACROECONOMICS","Oct 2015",2015,7,4,188,221,"Completed",NA,"4","ap676","Incomplete","No","No familiarity or access to GAUSS by Aptech, which was used to write the programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MASTER Summer 2018 forward"
