"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","X21","worksheet"
"1","10.1257/app.6.4.251","Merit Aid, College Quality, and College Completion: Massachusetts' Adams Scholarship as an In-Kind Subsidy",NA,NA,6,2014,NA,"Chris","Yes","No","Confidential Data","Proprietary",NA,NA,NA,"Administrative, local","formal access","""Most of the data for this project is proprietary. It can be obtained from the Massachusetts Department of Elementary and Secondary Education (DESE) by applying to their research office for permission to use the data. Data release is at DESE’s discretion, and applicants will need to protect student data. The necessary files for replication are the Student Information Management System (SIMS) files from school year 2001-2002 to 2010-2011, the Massachusetts Comprehensive Assessment System (MCAS) test files from school year 2001-2002 to 2010-2011, the National Student Clearinghouse (NSC) records for high school graduates from the classes of 2004-2008. Applicants should also request the list of Adams Scholarship winners to verify the decision rule.""","N","Massachusetts Department of Elementary and Secondary Education",NA,"Summer2017"
"2","10.1257/app.6.2.1","Keeping It Simple: Financial Literacy and Rules of Thumb",NA,NA,6,2014,NA,"Yudi","Yes","Yes","Output data not found. Had to put output into .out files, which are hard to read",NA,NA,NA,NA,"Administrative, private","informal","""We constructed the original sample frame based on administrative data collected by ADOPEM in the ordinary course of operations. Beginning in November 2006, we conducted a baseline survey of each study participant using a professional survey firm unafiliated with ADOPEM. We collected information on household and business characteristics, business practices and performance, business skills, training history, and interest in future training. The endline survey was conducted during the summer of 2008, at least 12 months after training was completed. We augmented the surveys with administrative data from ADOPEM.""﻿﻿﻿﻿","N","N",NA,"Summer2017"
"3","10.1257/app.6.1.157","Child Gender and Parental Investments In India: Are Boys and Girls Treated Differently?",NA,NA,6,2014,NA,"Evan","Yes","No","Confidential Data","Proprietary",NA,NA,NA,"Administrative, national","formal access","""Indian data:
1. Birth file from the 1992-1993 Demographic and Health survey (IABR22fl.dta), which can be downloaded for free at: http://www.measuredhs.com/Data/
2. Indian-Time Use Survey 1998: available for purchase at:
http://164.100.34.62/index.php/catalog/130/overview
3. Rajasthan data: Free and available for download at:
http://dvn.iq.harvard.edu/dvn/dv/mit/faces/study/StudyPage.xhtml?globalId=hdl:1902.1/15088&studyListingIndex=1_76c8ed403fa76bdbd3bfa9d2a1f1 

South African data: 
1. Birth file from the Demographic and Health Survey from 1998 (ZABR31FL.dta) which can be downloaded from http://www.measuredhs.com/Data/
2. South African Time Use Survey 2000: available for purchase at: http://microdata.worldbank.org/index.php/catalog/914/accesspolicy/

Anthropometric data:  
We downloaded and coded the birth files from 143 Demographic and Health surveys around the world. These are available for free and can be downloaded at: http://www.measuredhs.com/Data/""

","www.measuredhs.com/Data","N",NA,"Summer2017"
"4","10.1257/app.6.2.49","Distortions in the International Migrant Labor Market: Evidence from Filipino Migration and Wage Responses to Destination Country Economic Shocks",NA,NA,6,2014,NA,"Chuhan","Yes","Partly","Confidential Data","Proprietary",NA,NA,NA,"Administrative, national","Informal, no commitment","The data used for analysis are aggregated from micro data acquired from the Philippine Overseas Employment Administration (POEA). These data can be purchased by contacting the Planning Department at POEA. 
The Survey of Overseas Filipinos (SOF) data are not publicly available but can be purchased from the Philippine National Statistics Office (NSO).","N","N",NA,"Summer2017"
"5","10.1257/app.6.2.32","The Global Economics of Water: Is Water a Source of Comparative Advantage?",NA,NA,6,2014,NA,"Chris","Yes","Yes","N/A",NA,NA,NA,NA,"Public","Informal","From BHV 2010. Author thanks Nathan Nunn for making his research available.","N","N",NA,"Summer2017"
"6","10.1257/app.6.2.127","How Do Teachers Improve? The Relative Importance of Specific and General Human Capital",NA,NA,6,2014,NA,"Yudi","Yes","No","Confidential Data","Adminsitrative data",NA,NA,NA,"Administrative, regional, confidential","formal access","""I use longitudinal administrative data that link students to their teachers in the state of North Carolina between 1995-2012.2 These data include detailed informationn on student, classroom, teacher, and school characteristics as well as a standadized measure of math and reading achievement for students in grades three through eight. For each student, the data include race, gender, limited English status, free or reduced lunch status, and test scores for for each grade. Available teacher characteris include gender, race, highest degree earned, years of teaching experience, und graduate institution, and licensure test scores.3 Years of teaching experience is ba on the number of years credited to a teacher for the purposes of salary calculat and thus should reflect all experience in any district.""","http://www.childandfamilypolicy.duke.edu/project_detail.php?id=35","North Carolina Education Research Data Center (NCERDC) at Duke University",NA,"Summer2017"
"7","10.1257/app.6.1.91","The Great Equalizer: Health Care Access and Infant Mortality in Thailand",NA,NA,6,2014,NA,"Evan","Yes","No","Confidential Data","Adminsitrative data",NA,NA,NA,"administrative, regional, confidential","formal access","""This zip file contains the two programs used to estimate the utilization impacts of the 30 Baht program (analyze_util_vFINAL.do) and the infant mortality impacts of the program (analyze_infant_vFINAL.do). These programs rely on datasets obtained from the National Statistics Office in Thailand. In particular, the utilization analysis requires the Health and Welfare Study (“HWS”) for years 2001, 2003-2005. The infant mortality analysis requires province-level infant mortality statistics. Both datasets were obtained under an understanding that we would not disseminate their data. However, we are happy to assist researchers interested in replication or further analysis""","N/A","nhendren@fas.harvard.edu.",NA,"Summer2017"
"8","10.1257/app.6.3.206","Learning about an Infrequent Event: Evidence from Flood Insurance Take-Up in the United States",NA,NA,6,2014,NA,"Chuhan","Yes","Yes","Two graphs result from running a GIS program",NA,NA,NA,NA,NA,NA,"This article provides enough information to generate almost all results in the paper, except for two graphs that could only be generated using GIS.","https://www.aeaweb.org/aej/app/data/0603/2013-0178_data.zip",NA,NA,"Summer2017"
"9","10.1257/app.6.2.231","Human Capital and Productivity in a Team Environment: Evidence from the Healthcare Sector",NA,NA,6,2014,NA,"Chris","Yes","No","Confidential Data","Administrative data",NA,NA,NA,"Administrative, regional","Formal access","“We are requesting an exemption from the AEJ’s Data Availability Policy because the paper uses data from the Department of Veterans Affairs. The Department of Veterans Affairs has a data security policy that requires data use agreements before any VA data, including de- identified data, can be moved outside of the VA firewall. This even applies to individuals with dual VA/university appointments who want to move the data to a university computer. This policy is backed up by Federal law, and violations, in extreme cases, can result in fines. While the data cannot be transferred, they are potentially available to non-VA researchers if they are willing to go through the VA data transfer process. Ciaran Phibbs, who is a VA researcher, will assist other researchers in obtaining a data use agreement which, if granted by the VA, would give them access to the actual dataset (constructed variables, not raw data) that we used to estimate the regressions reported in the manuscript. It would be much harder, if not impossible, for a non-VA researcher to obtain access to the raw patient-level data or the VA payroll data that we use in this study; this would require the researcher to collaborate with a VA researcher who could gain access to the data.”","N","Ciaran Phibbs",NA,"Summer2017"
"10","10.1257/app.6.3.58","The Impact of Attending a School with High-Achieving Peers: Evidence from the New York City Exam Schools",NA,NA,6,2014,NA,"Yudi","Yes","No","Confidential Data","Administrative data",NA,NA,NA,"Administrative, regional, confidential","formal access","""This paper uses data from three prominent exam high schools in New York City to estimate the impact of attending a school with high- achieving peers on college enrollment and graduation.""","http://schools.nyc.gov/Accountability/data/DataRequests.","Research and Policy Support Group at the New York City Department of Education",NA,"Summer2017"
