"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","worksheet"
"1","10.1257/app.4.1.1","The Short- and Long-Term Career Effects of Graduating in a Recession",NA,NA,"2012 vol. 4",2012,NA,"Hautahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"2","10.1257/app.4.1.136","Sorting in Experiments with Application to Social Preferences",NA,NA,"2012 vol. 4",2012,NA,"Flavio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"3","10.1257/app.4.2.134","Risk Pooling, Risk Preferences, and Social Networks",NA,NA,"2012 vol. 4",2012,NA,"Hautahi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"4","10.1257/app.4.1.164","Investing Cash Transfers to Raise Long-Term Living Standards",NA,NA,"2012 vol. 4",2012,NA,"Flavio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"5","10.1257/app.4.4.1","Soap Operas and Fertility: Evidence from Brazil",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"6","10.1257/app.4.1.247","Cash Transfers, Behavioral Changes, and Cognitive Development in Early Childhood: Evidence from a Randomized Experiment",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"7","10.1257/app.4.3.190","Expansions in Maternity Leave Coverage and Children's Long-Term Outcomes",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"8","10.1257/app.4.1.49","An Empirical Investigation of the Option Value of College Enrollment",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"9","10.1257/app.4.2.62","Reexamining the Impact of Family Planning Programs on US Fertility: Evidence from the War on Poverty and the Early Years of Title X",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"10","10.1257/app.4.3.225","The Opt-In Revolution? Contraception and the Gender Gap in Wages",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"11","10.1257/app.4.2.98","The Impact of Credit on Village Economies",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"12","10.1257/app.4.2.1","What Linear Estimators Miss: The Effects of Family Income on Child Outcomes",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"13","10.1257/app.4.4.165","The Power of Political Voice: Women's Political Representation and Crime in India",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
"14","10.1257/app.4.4.121","Longer-Term Impacts of Mentoring, Educational Services, and Learning Incentives: Evidence from a Randomized Trial in the United States",NA,NA,"2012 vol. 4",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AEJApp2012"
