"","Title","Assignment","Authors","Author 1","Author 2","Author 3","Author 4","Author 5","Author 6","Author 7","h_index (Author 1)","h_index (Author 2)","h_index (Author 3)","h_index (Author 4)","h_index (Author 5)","h_index (Author 6)","h_index (Author 7)","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Citations Y","Citations Y+1","Citations Y+2","Citations Y+3","worksheet"
"1","Keeping It Simple: Financial Literacy and Rules of Thumb","gab99","Drexler, Alejandro; Fischer, Greg; Schoar, Antoinette","Drexler, Alejandro","Fischer, Greg","Schoar, Antoinette",NA,NA,NA,NA,2,2,12,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,1,31,NA,"10.1257/app.6.2.1",NA,NA,61,12.2,0,0,0,0,0,1,9,14,16,21,1,9,14,16,"CitationsSpring2019"
"2","Merit Aid, College Quality, and College Completion: Massachusetts' Adams Scholarship as an In-Kind Subsidy","gab99","Cohodes, Sarah R.; Goodman, Joshua S.","Cohodes, Sarah R","Goodman, Joshua S.",NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,251,285,NA,"10.1257/app.6.4.251",NA,NA,43,8.6,0,0,0,0,0,0,7,21,7,8,0,7,21,7,"CitationsSpring2019"
"3","Parental Education and Offspring Outcomes: Evidence from the Swedish Compulsory School Reform","gab99","Lundborg, Petter; Nilsson, Anton; Rooth, Dan-Olof","Lundborg, Petter","Nilsson, Anton","Rooth, Dan-Olof",NA,NA,NA,NA,13,2,14,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,253,278,NA,"10.1257/app.6.1.253",NA,NA,25,5,0,0,0,0,0,1,7,4,4,9,1,7,4,4,"CitationsSpring2019"
"4","The Global Economics of Water: Is Water a Source of Comparative Advantage?","gab99","Debaere, Peter","Debaere, Peter",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,32,48,NA,"10.1257/app.6.2.32",NA,NA,22,4.4,0,0,0,0,0,3,5,5,5,4,3,5,5,5,"CitationsSpring2019"
"5","Cross-Border Media and Nationalism: Evidence from Serbian Radio in Croatia","gab99","DellaVigna, Stefano; Enikolopov, Ruben; Mironova, Vera; Petrova, Maria; Zhuravskaya, Ekaterina","DellaVigna, Stefano","Enikolopov, Ruben","Mironova, Vera","Petrova, Maria","Zhuravskaya, Ekaterina",NA,NA,15,7,2,6,15,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,103,132,NA,"10.1257/app.6.3.103",NA,NA,19,3.8,0,0,0,0,0,0,2,5,5,7,0,2,5,5,"CitationsSpring2019"
"6","The Impact of Attending a School with High-Achieving Peers: Evidence from the New York City Exam Schools","gab99","Dobbie, Will; Fryer, Roland G., Jr.","Dobbie, Will","Fryer, Roland G., Jr.",NA,NA,NA,NA,NA,7,16,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,58,75,NA,"10.1257/app.6.3.58",NA,NA,19,3.8,0,0,0,0,0,0,4,6,7,2,0,4,6,7,"CitationsSpring2019"
"7","Meet the Press: How Voters and Politicians Respond to Newspaper Entry and Exit","gab99","Drago, Francesco; Nannicini, Tommaso; Sobbrio, Francesco","Drago, Francesco","Nannicini, Tommaso","Sobbrio, Francesco",NA,NA,NA,NA,6,13,4,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,159,188,NA,"10.1257/app.6.3.159",NA,NA,13,2.6,0,0,0,0,0,0,2,4,4,3,0,2,4,4,"CitationsSpring2019"
"8","Dynamic Implications of Subjective Expectations: Evidence from Adult Smokers","gab99","Wang, Yang","Wang, Yang",NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2014",2014,6,1,NA,NA,NA,1,37,NA,"10.1257/app.6.1.1",NA,NA,12,2.4,0,0,0,0,0,0,4,0,3,5,0,4,0,3,"CitationsSpring2019"
"9","Race and College Success: Evidence from Missouri","gab99","Arcidiacono, Peter; Koedel, Cory","Arcidiacono, Peter","Koedel, Cory",NA,NA,NA,NA,NA,12,10,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,20,57,NA,"10.1257/app.6.3.20",NA,NA,9,1.8,0,0,0,0,0,0,1,4,3,1,0,1,4,3,"CitationsSpring2019"
"10","Do Male-Female Wage Differentials Reflect Differences in the Return to Skill? Cross-City Evidence from 1980-2000","gab99","Beaudry, Paul; Lewis, Ethan","Beaudry, Paul","Lewis, Ethan",NA,NA,NA,NA,NA,13,7,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Apr 2014",2014,6,2,NA,NA,NA,178,194,NA,"10.1257/app.6.2.178",NA,NA,9,1.8,0,0,0,0,0,0,2,1,3,3,0,2,1,3,"CitationsSpring2019"
"11","Price, Quality, and Variety: Measuring the Gains from Trade in Differentiated Products","gab99","Sheu, Gloria","Sheu, Gloria",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Oct 2014",2014,6,4,NA,NA,NA,66,89,NA,"10.1257/app.6.4.66",NA,NA,5,1,0,0,0,0,0,0,0,3,0,2,0,0,3,0,"CitationsSpring2019"
"12","Child-Adoption Matching: Preferences for Gender and Race","gab99","Baccara, Mariagiovanna; Collard-Wexler, Allan; Felli, Leonardo; Yariv, Leeat","Baccara, Mariagiovanna","Collard-Wexler, Allan","Felli, Leonardo","Yariv, Leeat",NA,NA,NA,5,5,4,12,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jul 2014",2014,6,3,NA,NA,NA,133,158,NA,"10.1257/app.6.3.133",NA,NA,4,0.8,0,0,0,0,0,0,0,3,0,1,0,3,0,1,"CitationsSpring2019"
"13","Six Randomized Evaluations of Microcredit: Introduction and Further Steps","gab99","Banerjee, Abhijit; Karlan, Dean; Zinman, Jonathan","Banerjee, Abhijit","Karlan, Dean","Zinman, Jonathan",NA,NA,NA,NA,19,25,18,NA,NA,NA,NA,NA,NA,NA,"AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS","Jan 2015",2015,7,1,NA,NA,NA,1,21,NA,"10.1257/app.20140287",NA,NA,85,21.25,0,0,0,0,0,0,6,15,35,29,6,15,35,29,"CitationsSpring2019"
