"","DOI","Title","Pages","Entry Questionnaire Author","Entry Questionnaire","AER Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Access Type: restricted","Data Access Type: public","Data Access Type: Unknown","Data Comments","Data URL","Data Contact","worksheet"
"1","10.1257/aer.20150491","Housing Wealth and Consumption: Evidence from Geographically-Linked Microdata",32,"Daniel","Completed","VOL. 107, NO. 11",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"2","10.1257/aer.20151551","The Distributional Consequences of Large Devaluations",33,"Daniel","Completed","VOL. 107, NO. 11",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"3","10.1257/aer.20130817","Fiscal Unions",48,"Daniel","Completed","VOL. 107, NO. 12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"4","10.1257/aer.20160175","Not So Demanding: Demand Structure and Firm Behavior",40,"Daniel","Competed","VOL. 107, NO. 12",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"5","10.1257/aer.20131496","Recall and Unemployment",42,"Daniel","Completed","VOL. 107, NO. 12",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"6","10.1257/aer.20151589","The Effect of Wealth on Individual and Household Labor Supply: Evidence from Swedish Lotteries",31,"Daniel","Completed","VOL. 107, NO. 12",2017,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"7","10.1257/aer.20131296","Do Expiring Budgets Lead to Wasteful Year-End Spending? Evidence from Federal Procurement",40,"Daniel","Completed","VOL. 107, NO. 11",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"8","10.1257/aer.20141313","Interest Rate Pass-Through: Mortgage Rates, Household Consumption, and Voluntary Deleveraging",40,"Daniel","Completed","VOL. 107, NO. 11",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"9","10.1257/aer.20160665","Gresham's Law of Model Averaging",28,"Daniel","Completed","VOL. 107, NO. 11",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"10","10.1257/aer.20151425","The Welfare Effects of Coordinated Assignment: Evidence from the New York City High School Match",55,"Daniel","Completed","VOL. 107, NO. 12",2017,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"11","10.1257/aer.20161500","Valuing Alternative Work Arrangements",38,"Daniel","Completed","VOL. 107, NO. 12",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"12","10.1257/aer.20130711","Announcements of Support and Public Good Provision",28,"Daniel","Completed","VOL. 107, NO. 12",2017,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018AER"
"13","10.1257/aer.20150635","Networks, Markets, and Inequality",NA,"Matthew","Completed","VOL. 107, NO. 1",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,NA,NA,"Theory paper",NA,NA,"Spring2018AER"
"14","10.1257/aer.20141127","Price Setting in Online Markets: Basic Facts, International Comparisons, and Cross-Border Integration",NA,"Matthew","Completed","VOL. 107, NO. 1",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Analysis and Input","Public",NA,"Yes",NA,"n/a","https://www.aeaweb.org/content/file?id=2953","many detailed in README file","Spring2018AER"
"15","10.1257/aer.20120942","Cultural Proximity and Loan Outcomes",NA,"Matthew","Completed","VOL. 107, NO. 2",2017,5,NA,NA,NA,NA,NA,NA,NA,NA,"Proprietary","Proprietary","Yes",NA,NA,"No data provided and source of data not provided",NA,NA,"Spring2018AER"
"16","10.1257/aer.20140890","You Owe Me",NA,"Matthew","Completed","VOL. 107, NO. 2",2017,2,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA,"Yes","No data section in full text or readme","https://www.aeaweb.org/articles/attachments?retrieve=Vk-Y-tq_1BkdVPmes5HaMOaluk0nQR3i",NA,"Spring2018AER"
"17","10.1257/aer.20150913","Evidence Games: Truth and Commitment",NA,"Matthew","Completed","VOL. 107, NO. 3",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a",NA,"n/a",NA,"Theory paper",NA,NA,"Spring2018AER"
