"","DOI","Title","Pages","Entry Questionnaire","AEJ Edition","Year","Expected Difficulty","Replicator","Completed","Replicated","Main Issue","Type of Missing Data","2nd Replicator","Completed_1","Replicated_1","Data Type","Data Access Type","Data Comments","Data URL","Data Contact","Start-time","End-time","Run-time for programs (minutes)","Estimated editing-time for programs, commits (minutes)","worksheet"
"1","10.1257/app.4.3.138","High Unemployment Yet Few Small Firms: The Role of Centralized Bargaining in South Africa",29,"Completed","2012 vol. 4",2012,3,"Matthew","yes","no","function not defined",NA,"Yang Guo","yes","mostly","Analysis",NA,NA,"https://www.aeaweb.org/aej/app/data/2011-0027_data.zip",NA,NA,NA,NA,NA,"Spring2018"
"2","10.1257/app.4.3.167","Drug Innovations and Welfare Measures Computed from Market Demand: The Case of Anti-Cholesterol Drugs",22,"Completed","2012 vol. 4",2012,1,"Robert","yes","yes","tables in paper did not always map directly on to code output","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"3","10.1257/app.1.2.176","History Matters: The Long-Term Impact of Colonial Public Investments in French West Africa",43,"Completed","2009 vol. 1",2009,5,"Matthew","yes","no","no data provided","survey","Koonj Vekaria","yes","no","n/a","not determined","data not provided","n/a",NA,NA,NA,NA,NA,"Spring2018"
"4","10.1257/app.6.4.251","Merit Aid, College Quality, and College Completion: Massachusetts' Adams Scholarship as an In-Kind Subsidy",34,"Completed","2014 vol. 6",2014,1,"Robert","yes","no","Confidential Data","proprietary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"5","10.1257/app.4.4.165","The Power of Political Voice: Women's Political Representation and Crime in India",28,"Completed","2012 vol. 4",2012,1,"Daniel","yes","yes","missing code in do file",NA,NA,NA,NA,"Analysis","informal and formal access",NA,"https://www.aeaweb.org/aej/app/data/2011-0220_data.zip",NA,NA,NA,NA,NA,"Spring2018"
"6","10.1257/app.6.2.152","The Demand for Medical Male Circumcision",25,"Completed","2014 vol. 6",2014,1,"Daniel","yes","yes","no issue in replicating",NA,NA,NA,NA,"analysis","formal access",NA,"https://www.aeaweb.org/aej/app/data/0602/2012-0292_data.zip",NA,NA,NA,NA,NA,"Spring2018"
"7","10.1257/app.6.4.142","Private and Public Provision of Counseling to Job Seekers: Evidence from a Large Controlled Experiment",33,NA,"2014 vol. 6",2014,NA,"Yu","yes","no","Issues that weren't raised by the previous replicator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"8","10.1257/app.4.4.194","Deregulation, Consolidation, and Efficiency: Evidence from US Nuclear Power",33,"Completed","2012 vol. 4",2012,2,"Yu","yes","yes","Missing data for one of the do files","data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"9","10.1257/app.6.3.1","Default Tips",NA,NA,"6",2014,1,"Lars","no","no","Requires PostgresSQL and PostGIS to complete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"10","10.1257/app.6.3.133","Child-Adoption Matching: Preferences for Gender and Race",NA,"Completed","6",2014,2,"Robert","no","no","Requires Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"11","10.1257/app.4.3.64","Enforcement of Labor Regulation and Informality",NA,"Completed","2012 vol. 4",2012,1,"Robert","yes","partially","ran into error in one of the programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"12","10.1257/app.20140287","Six Randomized Evaluations of Microcredit: Introduction and Further Steps",NA,"Completed","2015 vol. 7",2015,1,"Yu","yes","yes","none","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"13","10.1257/app.20130533","The Miracle of Microfinance? Evidence from a Randomized Evaluation",NA,"Completed","2015 vol. 7",2015,NA,"Yu","yes","yes","takes over an hour to run figure.do",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"14","10.1257/app.20130475","The Impacts of Microcredit: Evidence from Ethiopia",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","no","Confidential Data","Unknown",NA,NA,NA,NA,NA,"no code or data provided; not enough information in article to even find input data",NA,NA,NA,NA,NA,NA,"Spring2018"
"15","10.1257/app.20130489","The Impacts of Microfinance: Evidence from Joint-Liability Lending in Mongolia",NA,"Completed","2015 vol. 7",2015,2,"Robert","yes","partially","could not successfully run one program (see replication.txt for more info)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"16","10.1257/app.20130535","Estimating the Impact of Microcredit on Those Who Take It Up: Evidence from a Randomized Experiment in Morocco",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","partially","bug that Lars could not fix in graph code; some tables were not replicated for some reason",NA,NA,NA,NA,"input","public",NA,"https://www.aeaweb.org/aej/app/data/0701/2013-0535_data.zip",NA,"4/6, 5 pm","4/15, 8:45 pm",NA,"45 min","Spring2018"
"17","10.1257/app.20130537","Microcredit Impacts: Evidence from a Randomized Microcredit Program Placement Experiment by Compartamos Banco",NA,"Completed","2015 vol. 7",2015,2,"Robert","yes","partially","assertion in helper do file not met for those graphs/tables that required that file; not entirely sure why assertion failed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring2018"
"18","10.1257/app.20130272","The Impacts of Microcredit: Evidence from Bosnia and Herzegovina",NA,"Completed","2015 vol. 7",2015,2,"Robert","yes","partially","parts of code could not be run due to difficult to debug errors; code for some tables not provided",NA,NA,NA,NA,"input","public",NA,"https://www.aeaweb.org/articles/attachments?retrieve=A9-nt9CpRLm3i3ErMHaeDWr_8IEJWpJW",NA,"4/8/18","4/27/18","30 min","7 hours","Spring2018"
"19","10.1257/app.20130423","Improving College Access and Success for Low-Income Students: Evidence from a Large Need-Based Grant Program",NA,"completed","2015 vol. 7",2015,2,"Matthew","yes","partially","Confidential Data","confidential",NA,NA,NA,"partially confidential","contact ministry","some of the data is given but the other data is not given. It may obtained by contacting the people outlined in the README under DATA",NA,"See README",NA,NA,NA,NA,"Spring2018"
"20","10.1257/app.20130126","Should Cash Transfers Be Conditional? Conditionality, Preventive Care, and Health Outcomes",NA,"Completed","2015 vol. 7",2015,1,"Robert","yes","yes",NA,NA,NA,NA,NA,"mostly input, with some analytical","public",NA,"https://www.aeaweb.org/aej/app/data/0702/2013-0126_data.zip",NA,"1:45 PM","(same day) 3:35:00 PM","5 minutes","30 minutes","Spring2018"
