"DOI","Total.Citations","Average.per.Year","Author.Order","Author.Name","Title","h-index"
"10.1257/aer.p20171060",0,"0","1","Bowers, Jake","Challenges to Replication and Iteration in Field Experiments: Evidence from Two Direct Mail Shots",3
"10.1257/aer.p20171060",0,"0","2"," Higgins, Nathaniel","Challenges to Replication and Iteration in Field Experiments: Evidence from Two Direct Mail Shots",5
"10.1257/aer.p20171060",0,"0","3"," Karlan, Dean","Challenges to Replication and Iteration in Field Experiments: Evidence from Two Direct Mail Shots",25
"10.1257/aer.p20171060",0,"0","4"," Tulman, Sarah","Challenges to Replication and Iteration in Field Experiments: Evidence from Two Direct Mail Shots",0
"10.1257/aer.p20171060",0,"0","5"," Zinman, Jonathan","Challenges to Replication and Iteration in Field Experiments: Evidence from Two Direct Mail Shots",18
"10.1257/app.1.1.1",35,"3,89","1","Field, Erica","Educational Debt Burden and Career Choice: Evidence from a Financial Aid Experiment at NYU Law School",10
"10.1257/app.1.1.112",46,"5,11","1","Glewwe, Paul","Many Children Left Behind? Textbooks and Test Scores in Kenya",8
"10.1257/app.1.1.112",46,"5,11","2","Kremer, Michael","Many Children Left Behind? Textbooks and Test Scores in Kenya",17
"10.1257/app.1.1.112",46,"5,11","3","Moulin, Sylvie","Many Children Left Behind? Textbooks and Test Scores in Kenya",1
"10.1257/app.1.1.136",84,"9,33","1","Angrist, Joshua","Incentives and Services for College Achievement: Evidence from a Randomized Trial",13
"10.1257/app.1.1.136",84,"9,33","2","Lang, Daniel","Incentives and Services for College Achievement: Evidence from a Randomized Trial",4
"10.1257/app.1.1.136",84,"9,33","3","Oreopoulos, Philip","Incentives and Services for College Achievement: Evidence from a Randomized Trial",10
"10.1257/app.1.1.164",68,"7,56","1","Carpenter, Christopher","The Effect of Alcohol Consumption on Mortality: Regression Discontinuity Evidence from the Minimum Drinking Age",10
"10.1257/app.1.1.164",68,"7,56","2","Dobkin, Carlos","The Effect of Alcohol Consumption on Mortality: Regression Discontinuity Evidence from the Minimum Drinking Age",10
"10.1257/app.1.1.183",32,"3,56","1","Ichino, Andrea","Biological Gender Differences, Absenteeism, and the Earnings Gap",9
"10.1257/app.1.1.183",32,"3,56","2","Moretti, Enrico","Biological Gender Differences, Absenteeism, and the Earnings Gap",17
"10.1257/app.1.1.219",56,"6,22","1","Cole, Shawn","Fixing Market Failures or Fixing Elections? Agricultural Credit in India",7
"10.1257/app.1.1.22",56,"6,22","1","Ardington, Cally","Labor Supply Responses to Large Social Transfers: Longitudinal Evidence from South Africa",6
"10.1257/app.1.1.22",56,"6,22","2","Case, Anne","Labor Supply Responses to Large Social Transfers: Longitudinal Evidence from South Africa",14
"10.1257/app.1.1.22",56,"6,22","3","Hosegood, Victoria","Labor Supply Responses to Large Social Transfers: Longitudinal Evidence from South Africa",12
"10.1257/app.1.1.251",11,"1,22","1","Maurin, Eric","The Social Multiplier and Labor Market Participation of Mothers",8
"10.1257/app.1.1.251",11,"1,22","2","Moschion, Julie","The Social Multiplier and Labor Market Participation of Mothers",2
"10.1257/app.1.1.49",80,"8,89","1","Royer, Heather","Separated at Girth: US Twin Estimates of the Effects of Birth Weight",4
"10.1257/app.1.1.86",31,"3,44","1","Mullainathan, Sendhil","Sticking with Your Vote: Cognitive Dissonance and Political Attitudes",14
"10.1257/app.1.1.86",31,"3,44","2","Washington, Ebonya","Sticking with Your Vote: Cognitive Dissonance and Political Attitudes",7
"10.1257/app.1.2.1",23,"2,56","1","Abrevaya, Jason","Are There Missing Girls in the United States? Evidence from Birth Data",6
"10.1257/app.1.2.128",13,"1,44","1","Blank, Rebecca M.","A Cautionary Tale About the Use of Administrative Data: Evidence from Age of Marriage Laws",3
